circuit_id,gate,n_nodes,snr_reportado,snr_real,media_low,media_high,desvio_low,desvio_high,sinal,ruido
38279146678015810_23,NOT,5,2.019386,0.180866,238.7,269.9,117.8755,125.9477,31.2,172.5035
38279146683640905_24,NOT,6,0.975017,0.285385,0.75,1.6,1.3328,2.6636,0.85,2.9784
38279146697753495_25,NOT,5,1.333333,0.301391,0.8,2.0,1.105,3.8251,1.2,3.9815
38279146714875583_26,NOT,6,2.797532,0.22554,295.0,343.05,133.5081,166.022,48.05,213.044
38279146765825846_27,NOT,6,1.05529,0.235006,1.75,3.15,3.5818,4.7603,1.4,5.9573
38279146994213617_28,NOT,5,2.85524,0.416644,1.45,4.9,2.6651,7.8398,3.45,8.2804
38279150911652984_29,NOT,6,0.888889,0.264358,0.8,1.6,1.105,2.8172,0.8,3.0262
38279151103090196_30,NOT,6,1.110029,0.110432,169.45,183.9,96.6521,88.2037,14.45,130.8492
38279151118725158_31,NOT,6,6.093436,0.256096,712.05,874.65,332.8536,540.6755,162.6,634.9185
38279151141859356_32,NOT,5,1.298051,0.12682,333.35,357.05,127.1204,136.9823,23.7,186.879
38279151259286698_33,NOT,5,2.679321,0.155359,460.55,518.05,186.676,319.5835,57.5,370.1102
38279151333797452_34,NOT,6,1.008764,0.297454,0.7,1.55,1.2607,2.5644,0.85,2.8576
38279151884496796_35,NOT,4,3.651787,0.144308,890.1,999.05,456.7975,601.1086,108.95,754.9805
38279152117217916_36,NOT,5,8.30824,0.524767,280.5,419.65,110.8615,240.8783,139.15,265.1652
38279156324720392_37,NOT,6,5.769504,0.521689,198.8,280.15,86.9286,129.4581,81.35,155.9358
38279156383187062_38,NOT,6,0.916579,0.369125,0.85,1.7,1.1367,2.0026,0.85,2.3027
38279156593606979_39,NOT,4,1.795998,0.311026,0.4,1.55,0.7539,3.6198,1.15,3.6974
38279156693384105_40,NOT,5,2.666538,0.392909,67.75,89.7,40.783,38.1798,21.95,55.8654
38279156746233218_41,NOT,5,4.452512,0.21613,557.7,662.85,313.68,371.8873,105.15,486.5134
38279156848975712_42,NOT,4,2.49878,0.723974,0.4,2.0,0.8208,2.052,1.6,2.21
38279157020715416_43,NOT,6,0.862662,0.199639,0.85,1.65,1.268,3.8013,0.8,4.0072
38279157184859690_44,NOT,5,2.213277,0.109666,779.65,841.45,338.2605,450.7152,61.8,563.5284
