query_protein,instance_type,ucf_json_file,ucf_object_index,ucf_record_type,gate_or_fragment_name,has_response_parameters,target_metric,target_metric_name,target_metric_source,derived_dynamic_range,derived_log10_on_off_ratio,ucf_param_ymax,ucf_param_ymin,ucf_param_K,ucf_param_n,ucf_param_a,ucf_param_b,ucf_param_alpha,ucf_param_beta,ucf_param_tau_on,ucf_param_tau_off
PhlF,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\Eco\Eco1C1G1T1.UCF.json,368,models,P2_PhlF_model,1,204.99999999999997,on_off_ratio,derived_from_ymax_ymin,4.08,2.311753861055754,4.1,0.02,0.13,3.9,,,0.1463206009221345,0.11755699456950987,,
PhlF,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\Eco\Eco1C1G1T1.UCF.json,369,,p2_phlf,0,,,not_found,,,,,,,,,,,,
PhlF,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\Eco\Eco1C1G1T1.UCF.json,376,models,P3_PhlF_model,1,340.0,on_off_ratio,derived_from_ymax_ymin,6.78,2.531478917042255,6.8,0.02,0.23,4.2,,,0.24070011453960044,0.061908386254441006,,
PhlF,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\Eco\Eco1C1G1T1.UCF.json,377,,p3_phlf,0,,,not_found,,,,,,,,,,,,
PhlF,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\Eco\Eco1C2G2T2.UCF.json,278,models,P3_PhlF_model,1,1522.0915821221158,on_off_ratio,derived_from_ymax_ymin,7.083442096000001,3.182440784112406,7.088098911,0.004656815,0.116044457,3.342819362,,,0.240700115,0.061908386,0.15,5.0
PhlF,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\Eco\Eco1C2G2T2.UCF.json,378,models,P1_PhlF_model,1,1584.7234744235752,on_off_ratio,derived_from_ymax_ymin,6.869075907,3.199953491153664,6.873413202,0.004337295,0.042126721,3.804263913,,,0.222204213,0.064388009,0.3,4.0
PhlF,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\Eco\Eco1C2G2T2.UCF.json,388,models,P2_PhlF_model,1,1120.827337839778,on_off_ratio,derived_from_ymax_ymin,7.4801856970000005,3.0495387151829374,7.486865464,0.006679767,0.20384996,4.481560106,,,0.146320601,0.117556995,0.2,4.0
PhlF,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\Eco\Eco2C1G3T1.UCF.json,571,models,P1_PhlF_model,1,622.2307692307693,on_off_ratio,derived_from_ymax_ymin,5.112108,2.793951483109446,5.120337,0.008229,0.15192,2.4223,,,,,,
PhlF,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\SC\SC1C1G1T1.UCF.json,0,header,PhlF,0,,,not_found,,,,,,,,,,,,
PhlF,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\SC\SC1C1G1T1.UCF.json,278,models,P1_PhlF_model,1,535.0,on_off_ratio,derived_from_ymax_ymin,3.204,2.7283537820212285,3.21,0.006,0.211,3.57,,,,,,
AmeR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C1G1T0.UCF.json,264,gates,F1_AmeR,0,,,not_found,,,,,,,,,,,,
AmeR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C1G1T0.UCF.json,303,response_functions,F1_AmeR,1,18.999999999999996,on_off_ratio,derived_from_ymax_ymin,3.5999999999999996,1.2787536009528289,3.8,0.2,0.09,1.4,,,,,,
AmeR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C1G1T0.UCF.json,666,eugene_rules,gate_amer,0,,,not_found,,,,,,,,,,,,
AmeR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C2G2T2.UCF.json,266,gates,F2_AmeR,0,,,not_found,,,,,,,,,,,,
AmeR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C2G2T2.UCF.json,326,response_functions,F2_AmeR,1,17.816248109797748,on_off_ratio,derived_from_ymax_ymin,3.4682358300000002,1.2508162520707606,3.674478971,0.206243141,0.0346134,1.314222122,0.09874237,1.0,,,,
AmeR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C2G2T2.UCF.json,398,response_functions,F1_AmeR,1,15.78449545394434,on_off_ratio,derived_from_ymax_ymin,4.276875167,1.198230704373952,4.566156271,0.289281104,0.121548379,1.542139516,0.09276382,1.0,,,,
AmeR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\Eco\Eco1C1G1T1.UCF.json,320,models,F1_AmeR_model,1,18.999999999999996,on_off_ratio,derived_from_ymax_ymin,3.5999999999999996,1.2787536009528289,3.8,0.2,0.09,1.4,,,0.09276381977393494,1.0,,
AmeR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\Eco\Eco1C1G1T1.UCF.json,321,,f1_amer,0,,,not_found,,,,,,,,,,,,
AmeR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\Eco\Eco1C2G2T2.UCF.json,338,models,F2_AmeR_model,1,17.816248109797748,on_off_ratio,derived_from_ymax_ymin,3.4682358300000002,1.2508162520707606,3.674478971,0.206243141,0.0346134,1.314222122,,,0.09874237,1.0,8.0,2.5
AmeR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\Eco\Eco1C2G2T2.UCF.json,339,,f2_amer,0,,,not_found,,,,,,,,,,,,
AmeR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\Eco\Eco1C2G2T2.UCF.json,428,models,F1_AmeR_model,1,15.78449545394434,on_off_ratio,derived_from_ymax_ymin,4.276875167,1.198230704373952,4.566156271,0.289281104,0.121548379,1.542139516,,,0.09276382,1.0,8.0,2.3
BetI,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C1G1T0.UCF.json,263,gates,E1_BetI,0,,,not_found,,,,,,,,,,,,
BetI,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C1G1T0.UCF.json,297,response_functions,E1_BetI,1,54.28571428571428,on_off_ratio,derived_from_ymax_ymin,3.73,1.7346855566025532,3.8,0.07,0.41,2.4,,,,,,
BetI,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C1G1T0.UCF.json,666,eugene_rules,gate_beti,0,,,not_found,,,,,,,,,,,,
BetI,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C2G2T2.UCF.json,318,response_functions,E1_BetI,1,69.48273532943901,on_off_ratio,derived_from_ymax_ymin,2.797014815,1.8418769069987,2.837857442,0.040842627,0.277844523,2.880416695,0.643200299,0.458199947,,,,
BetI,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco2C1G3T1.UCF.json,519,gates,E1_BetI_a,0,,,not_found,,,,,,,,,,,,
BetI,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco2C1G3T1.UCF.json,526,gates,E1_BetI_b,0,,,not_found,,,,,,,,,,,,
BetI,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco2C1G3T1.UCF.json,563,response_functions,E1_BetI_a,1,8.8825,on_off_ratio,derived_from_ymax_ymin,1.9958489999999998,0.9485352161613656,2.249049,0.2532,1.250808,3.776,,,,,,
BetI,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco2C1G3T1.UCF.json,605,response_functions,E1_BetI_b,1,8.8825,on_off_ratio,derived_from_ymax_ymin,1.9958489999999998,0.9485352161613656,2.249049,0.2532,1.250808,3.776,,,,,,
BetI,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\Eco\Eco1C1G1T1.UCF.json,312,models,E1_BetI_model,1,54.28571428571428,on_off_ratio,derived_from_ymax_ymin,3.73,1.7346855566025532,3.8,0.07,0.41,2.4,,,0.6432002990749837,0.4581999467137076,,
BetI,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\Eco\Eco1C1G1T1.UCF.json,313,,e1_beti,0,,,not_found,,,,,,,,,,,,
BetI,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\Eco\Eco1C2G2T2.UCF.json,328,models,E1_BetI_model,1,69.48273532943901,on_off_ratio,derived_from_ymax_ymin,2.797014815,1.8418769069987,2.837857442,0.040842627,0.277844523,2.880416695,,,0.643200299,0.458199947,0.4,1.5
BetI,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\Eco\Eco2C1G3T1.UCF.json,601,models,E1_BetI_model,1,8.8825,on_off_ratio,derived_from_ymax_ymin,1.9958489999999998,0.9485352161613656,2.249049,0.2532,1.250808,3.776,,,,,,
QacR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C1G1T1.UCF.json,273,gates,Q1_QacR,0,,,not_found,,,,,,,,,,,,
QacR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C1G1T1.UCF.json,274,gates,Q2_QacR,0,,,not_found,,,,,,,,,,,,
QacR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C1G1T1.UCF.json,358,response_functions,Q1_QacR,1,240.0,on_off_ratio,derived_from_ymax_ymin,2.39,2.380211241711606,2.4,0.01,0.05,2.7,,,,,,
QacR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C1G1T1.UCF.json,364,response_functions,Q2_QacR,1,93.33333333333333,on_off_ratio,derived_from_ymax_ymin,2.77,1.9700367766225568,2.8,0.03,0.21,2.4,,,,,,
QacR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C1G1T1.UCF.json,835,eugene_rules,gate_qacr,0,,,not_found,,,,,,,,,,,,
QacR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco2C1G3T1.UCF.json,514,gates,Q1_QacR_a,0,,,not_found,,,,,,,,,,,,
QacR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco2C1G3T1.UCF.json,521,gates,Q1_QacR_b,0,,,not_found,,,,,,,,,,,,
